canonical_book_id,title,average_rating,text_reviews_count,text_reviews_count_capped,language_code
41865,Twilight (Twilight  #1),3.59,94265,14812,eng
19063,The Book Thief,4.37,86881,14812,eng
3636,The Giver (The Giver  #1),4.13,56604,14812,eng
865,The Alchemist,3.86,55843,14812,eng
43641,Water for Elephants,4.09,52759,14812,eng
28187,The Lightning Thief (Percy Jackson and the Olympians  #1),4.25,47951,14812,eng
19501,Eat  Pray  Love,3.55,47620,14812,eng
7445,The Glass Castle,4.27,46176,14812,eng
5107,The Catcher in the Rye,3.8,43499,14812,eng
5,Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),4.56,36325,14812,eng
968,The Da Vinci Code (Robert Langdon  #2),3.84,35877,14812,eng
1618,The Curious Incident of the Dog in the Night-Time,3.88,35537,14812,eng
15881,Harry Potter and the Chamber of Secrets (Harry Potter  #2),4.42,34692,14812,eng
10964,Outlander (Outlander  #1),4.23,34690,14812,eng
6288,The Road,3.97,34301,14812,eng
5907,The Hobbit  or There and Back Again,4.27,32871,14812,eng
7613,Animal Farm,3.93,29677,14812,eng
10917,My Sister's Keeper,4.07,29652,14812,eng
2,Harry Potter and the Order of the Phoenix (Harry Potter  #5),4.49,29221,14812,eng
10210,Jane Eyre,4.12,27884,14812,eng
